app_id,applicant_name,designation,applicant_type,mobile,email,purpose,referred_by,remarks,guest_details,from_date,to_date,rooms_required,messing_required,billing_person,signature,status,submitted_date,approved_by,approved_date,check_in_date,check_out_date,room_status,allocated_room,rejection_reason,guest_count
58,pragati  goyal,STUDENT,Others - STUDENT AT DIAT,7873783783,manyatasingh2805@gmail.com,project review,yogeshwar sir,urgent,"[{""name"": ""pragati goyal"", ""age_sex"": ""22F"", ""guest_type"": ""Adult"", ""nationality"": ""IND"", ""aadhaar"": ""73838333333"", ""contact"": ""9117501707""}]",2026-04-28T15:13,2026-04-30T15:13,1,No,self,pp,Approved,2026-04-27 09:43:22,admin,2026-04-27 12:00:09,2026-04-29 06:21:46,,Occupied,Y5,,1
57,suhani sen,Scientist,Serving DRDO,72878278828,shalnisjay5@gmail.com,project review,,,"[{""name"": ""suhani sen"", ""age_sex"": ""22F"", ""guest_type"": ""Adult"", ""nationality"": ""ind"", ""aadhaar"": ""34435553535"", ""contact"": """"}]",2026-05-02T14:54,2026-05-06T14:54,1,No,self,ssss,Approved,2026-04-27 09:24:27,admin,2026-04-27 12:01:08,2026-04-27 12:01:48,,Occupied,,,1
56,sahlani sharma,Scientist,Serving DRDO,738784799,shalnisjay5@gmail.com,project review,,,"[{""name"": ""shalnoi"", ""age_sex"": ""22F"", ""guest_type"": ""Adult"", ""nationality"": ""ind"", ""aadhaar"": ""34435553535"", ""contact"": """"}]",2026-05-01T19:51,2026-05-05T14:51,1,No,self,ssss,Pending,2026-04-27 09:22:16,,,,,Booked,,,1
55,anurag singh,Scientist,Serving (Trl Services),6203903075,sunny22@gmail.com,seminar,yogeshwar sir,urgent,[],2026-04-30T13:36,2026-05-02T13:36,1,Yes,self,ss,Pending,2026-04-27 08:06:35,,,,,Booked,,,0
54,sunny singh,Scientist,Retired DRDO,776279919,sunny22@gmail.com,work visit,yogeshwar sir,urgent,"[{""name"": ""sunny singh"", ""age_sex"": ""24 M"", ""guest_type"": ""Adult"", ""nationality"": ""ind"", ""aadhaar"": ""73838333333"", ""contact"": ""9117501707""}]",2026-04-21T16:41,2026-04-24T16:41,1,No,self,ss,Approved,2026-04-20 11:12:06,admin,2026-04-29 06:18:57,,,Booked,,,1
53,MANYATA,STUDENT,Others - STUDENT AT DIAT,9117501707,manyatasingh2805@gmail.com,project review,yogeshwar sir,urgent,"[{""name"": ""manyata"", ""age_sex"": ""21 F"", ""guest_type"": ""Adult"", ""nationality"": ""IND"", ""aadhaar"": ""73838333333"", ""contact"": ""9117501707""}]",2026-04-15T11:04,2026-04-30T11:04,1,No,self,manyata,Approved,2026-04-15 05:35:06,admin,2026-04-15 05:35:51,2026-04-15 05:36:48,,Occupied,,,1
52,shreya,Scientist,Serving DRDO,7033404255,shreyaitis11@gmail.com,work visit,yogeshwar sir,urgent,"[{""name"": ""shreya"", ""age_sex"": ""21 F"", ""guest_type"": ""Adult"", ""nationality"": ""IND"", ""aadhaar"": ""73838333333"", ""contact"": ""7033404226""}]",2026-04-30T07:48,2026-10-14T07:00,1,No,self,shreya,Approved,2026-04-13 21:15:18,admin,2026-04-13 21:15:37,2026-04-13 21:16:27,,Occupied,,,1
51,ashish pandey ,Scientist,Serving DRDO,7033404226,parthpandey35@gmail.com,work visit,yogeshwar sir,urgent,"[{""name"": ""ashish pandey"", ""age_sex"": ""35 M"", ""guest_type"": ""Adult"", ""nationality"": ""IND"", ""aadhaar"": ""73838333333"", ""contact"": ""7033404226""}]",2026-04-24T06:44,2026-10-22T09:41,1,Yes,self,ashish pandey,Approved,2026-04-13 21:11:28,admin,2026-04-13 21:12:32,2026-04-22 07:24:42,,Occupied,Y-1,,1
50,SAURABH Kumar singh,INTERN,Others - STUDENT AT DIAT,6203903075,saurabh9798474604@gmail.com,intership,yogeshwar sir,urgent,"[{""name"": ""SAURABH Kumar singh"", ""age_sex"": ""22 M"", ""guest_type"": ""Adult"", ""nationality"": ""IND"", ""aadhaar"": ""45544555544"", ""contact"": ""6203903075""}]",2026-04-23T03:43,2026-10-24T01:42,1,Yes,self,SAURABH Kumar singh,Approved,2026-04-13 20:13:00,admin,2026-04-13 20:14:00,2026-04-22 08:46:52,,Occupied,y-2,,1
46,kumar sanu,Scientist,Other Govt Emp.,9985464655,kumar5454@gmail.com,project review,,,"[{""name"": ""sanu"", ""age_sex"": ""24 M"", ""nationality"": ""IND"", ""aadhaar"": ""5515515555"", ""contact"": ""620458154""}]",01-06-2026,01-09-2026,1,Yes,self,sanu,Approved,2026-03-25 09:05:05,admin,2026-03-27 09:12:36,2026-04-22 09:01:08,,Occupied,Y-3,,1
